gap_true_mm,vib_A_mm,vib_f_Hz,eta,gHat_raw_corr_mm,gHat_raw_rmse_mm,gHat_width_mm,err_raw_corr_mm,err_raw_rmse_mm,err_width_mm,raw_corr_correct,raw_rmse_correct,width_correct,best_raw_corr,best_width_dist,width_correct_rank,width_separability
0.8,0.2,200,0.000837758040957278,0.8,0.8,0.8,0,0,0,1,1,1,0.999999827276643,7.26604850363251e-05,1,22.5709439002017
0.8,0.2,400,0.00167551608191456,0.8,0.8,0.8,0,0,0,1,1,1,0.99999931930437,0.000148568682409354,1,10.8070224275337
0.8,0.2,600,0.00251327412287183,0.8,0.8,0.8,0,0,0,1,1,1,0.999998484897617,0.000225568089124714,1,6.97660910532732
0.8,0.2,800,0.00335103216382911,0.8,0.8,0.8,0,0,0,1,1,1,0.999997331390575,0.000303894358466465,1,5.08356851978842
0.8,0.2,1000,0.00418879020478639,0.8,0.8,0.8,0,0,0,1,1,1,0.999995850166938,0.000349018121587882,1,4.37455785285924
0.8,0.3,0,0,0.8,0.8,0.8,0,0,0,1,1,1,1,3.86341261956331e-17,1,7538168888404.97
0.8,0.3,200,0.00125663706143592,0.8,0.8,0.8,0,0,0,1,1,1,0.999999614542003,0.000110423181678044,1,14.6935991208864
0.8,0.3,400,0.00251327412287183,0.8,0.8,0.8,0,0,0,1,1,1,0.999998484743453,0.000225620743601671,1,6.97483890321068
0.8,0.3,600,0.00376991118430775,0.8,0.8,0.8,0,0,0,1,1,1,0.999996631684893,0.000329130328905092,1,4.66379260180704
0.8,0.3,800,0.00502654824574367,0.8,0.8,0.8,0,0,0,1,1,1,0.999994038256819,0.00039061367717088,1,3.866011681775
0.8,0.3,1000,0.00628318530717959,0.8,0.8,0.8,0,0,0,1,1,1,0.99999071010423,0.000454734408287466,1,3.2696090626997
0.8,0.5,0,0,0.8,0.8,0.8,0,0,0,1,1,1,1,5.14602144722741e-17,1,7538168888404.94
